Sample	lon	lat	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_12	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
01N4486	-96.843017	39.023896	12.44166661	12.40000023	29.87951931	1036.580536	32.29999924	-9.199999809	41.49999905	22.43333308	-0.766666651	24.96666622	-0.766666651	855	134	19	51.91234059	349	69	318	69
01N4491	-96.843017	39.023896	12.44166661	12.40000023	29.87951931	1036.580536	32.29999924	-9.199999809	41.49999905	22.43333308	-0.766666651	24.96666622	-0.766666651	855	134	19	51.91234059	349	69	318	69
01N4492	-96.843017	39.023896	12.44166661	12.40000023	29.87951931	1036.580536	32.29999924	-9.199999809	41.49999905	22.43333308	-0.766666651	24.96666622	-0.766666651	855	134	19	51.91234059	349	69	318	69
01N4493	-96.843017	39.023896	12.44166661	12.40000023	29.87951931	1036.580536	32.29999924	-9.199999809	41.49999905	22.43333308	-0.766666651	24.96666622	-0.766666651	855	134	19	51.91234059	349	69	318	69
02N1424	-96.843017	39.023896	12.44166661	12.40000023	29.87951931	1036.580536	32.29999924	-9.199999809	41.49999905	22.43333308	-0.766666651	24.96666622	-0.766666651	855	134	19	51.91234059	349	69	318	69
02N1427	-96.843017	39.023896	12.44166661	12.40000023	29.87951931	1036.580536	32.29999924	-9.199999809	41.49999905	22.43333308	-0.766666651	24.96666622	-0.766666651	855	134	19	51.91234059	349	69	318	69
02N1428	-96.843017	39.023896	12.44166661	12.40000023	29.87951931	1036.580536	32.29999924	-9.199999809	41.49999905	22.43333308	-0.766666651	24.96666622	-0.766666651	855	134	19	51.91234059	349	69	318	69
02N8390	-122.33528	47.025556	10.24166665	10.25000012	42.18106929	511.9163391	21.70000076	-2.599999905	24.30000067	4.73333323	16.7166667	16.7166667	4.283333341	1231	182	28	53.54379703	533	121	121	486
02N8391	-122.33528	47.025556	10.24166665	10.25000012	42.18106929	511.9163391	21.70000076	-2.599999905	24.30000067	4.73333323	16.7166667	16.7166667	4.283333341	1231	182	28	53.54379703	533	121	121	486
02N8392	-122.33528	47.025556	10.24166665	10.25000012	42.18106929	511.9163391	21.70000076	-2.599999905	24.30000067	4.73333323	16.7166667	16.7166667	4.283333341	1231	182	28	53.54379703	533	121	121	486
02N8420	-122.33528	47.025556	10.24166665	10.25000012	42.18106929	511.9163391	21.70000076	-2.599999905	24.30000067	4.73333323	16.7166667	16.7166667	4.283333341	1231	182	28	53.54379703	533	121	121	486
02N8421	-122.33528	47.025556	10.24166665	10.25000012	42.18106929	511.9163391	21.70000076	-2.599999905	24.30000067	4.73333323	16.7166667	16.7166667	4.283333341	1231	182	28	53.54379703	533	121	121	486
02N8423	-122.33528	47.025556	10.24166665	10.25000012	42.18106929	511.9163391	21.70000076	-2.599999905	24.30000067	4.73333323	16.7166667	16.7166667	4.283333341	1231	182	28	53.54379703	533	121	121	486
02N8425	-122.33528	47.025556	10.24166665	10.25000012	42.18106929	511.9163391	21.70000076	-2.599999905	24.30000067	4.73333323	16.7166667	16.7166667	4.283333341	1231	182	28	53.54379703	533	121	121	486
02N8885	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
02N8886	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
02N8887	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
02N8889	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
02N8893	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
02N8895	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
02N8901	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
02N8931	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
03N2087	-118.48202	50.896345	5.841666624	10.3333335	28.62419298	875.120332	22.29999924	-13.80000019	36.09999943	-4.216666758	6.183333476	16.46666638	-5.183333457	993	115	63	22.83249504	337	202	227	297
03N2090	-118.48202	50.896345	5.841666624	10.3333335	28.62419298	875.120332	22.29999924	-13.80000019	36.09999943	-4.216666758	6.183333476	16.46666638	-5.183333457	993	115	63	22.83249504	337	202	227	297
03N2107	-116.966188	51.296346	4.66249992	10.74166655	28.72103384	925.9028064	21.29999924	-16.10000038	37.39999962	-6.283333401	0.26666675	15.71666638	-7.233333369	512	60	25	27.71127141	170	82	147	151
03N2110	-116.966188	51.296346	4.66249992	10.74166655	28.72103384	925.9028064	21.29999924	-16.10000038	37.39999962	-6.283333401	0.26666675	15.71666638	-7.233333369	512	60	25	27.71127141	170	82	147	151
03N6158	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
03N6159	-115.48333	40.2	8.12499999	16.21666672	40.84802719	848.1115427	27.89999962	-11.80000019	39.69999981	-1.016666651	18.43333348	19.0333333	-1.900000095	331	35	14	22.93945488	101	56	61	95
04N9069	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
04N9070	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
09N0194	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
09N15821	-104.42056	33.476389	15.53333348	18.70000009	43.99999872	860.8118252	36.40000153	-6.099999905	42.50000143	25.21666702	6.816666683	25.95000045	4.783333262	325	62	7	67.17632845	159	26	149	32
09N20305	-85.47163	32.0385	17.96666668	13.63333355	41.94871663	694.8032127	33.90000153	1.399999976	32.50000155	10.63333338	18.73333335	26.21666654	9.133333385	1347	160	65	21.40876882	413	255	348	379
10N17235	-104.42056	33.476389	15.53333348	18.70000009	43.99999872	860.8118252	36.40000153	-6.099999905	42.50000143	25.21666702	6.816666683	25.95000045	4.783333262	325	62	7	67.17632845	159	26	149	32
10N17236	-104.42056	33.476389	15.53333348	18.70000009	43.99999872	860.8118252	36.40000153	-6.099999905	42.50000143	25.21666702	6.816666683	25.95000045	4.783333262	325	62	7	67.17632845	159	26	149	32
11N0358	-104.42056	33.476389	15.53333348	18.70000009	43.99999872	860.8118252	36.40000153	-6.099999905	42.50000143	25.21666702	6.816666683	25.95000045	4.783333262	325	62	7	67.17632845	159	26	149	32
11N0359	-104.42056	33.476389	15.53333348	18.70000009	43.99999872	860.8118252	36.40000153	-6.099999905	42.50000143	25.21666702	6.816666683	25.95000045	4.783333262	325	62	7	67.17632845	159	26	149	32
11N0363	-104.42056	33.476389	15.53333348	18.70000009	43.99999872	860.8118252	36.40000153	-6.099999905	42.50000143	25.21666702	6.816666683	25.95000045	4.783333262	325	62	7	67.17632845	159	26	149	32
11N0364	-104.42056	33.476389	15.53333348	18.70000009	43.99999872	860.8118252	36.40000153	-6.099999905	42.50000143	25.21666702	6.816666683	25.95000045	4.783333262	325	62	7	67.17632845	159	26	149	32
14N0311	-85.47163	32.0385	17.96666668	13.63333355	41.94871663	694.8032127	33.90000153	1.399999976	32.50000155	10.63333338	18.73333335	26.21666654	9.133333385	1347	160	65	21.40876882	413	255	348	379
14N0313	-85.47163	32.0385	17.96666668	13.63333355	41.94871663	694.8032127	33.90000153	1.399999976	32.50000155	10.63333338	18.73333335	26.21666654	9.133333385	1347	160	65	21.40876882	413	255	348	379
16N0001	-122.89942	38.170276	13.52499995	12.73333325	61.21795056	296.1456923	23.29999924	2.5	20.79999924	9.783333182	16.5333333	17.04999987	9.783333182	974	201	3	92.03789568	528	13	20	528
16N0005	-122.89942	38.170276	13.52499995	12.73333325	61.21795056	296.1456923	23.29999924	2.5	20.79999924	9.783333182	16.5333333	17.04999987	9.783333182	974	201	3	92.03789568	528	13	20	528
16N0006	-122.813066	38.060316	13.63749984	12.57499959	61.04368832	300.4929669	23.39999962	2.799999952	20.59999967	9.783333103	16.71666654	17.14999994	9.783333103	979	203	2	93.61575501	541	11	16	541
16N0007	-122.813066	38.060316	13.63749984	12.57499959	61.04368832	300.4929669	23.39999962	2.799999952	20.59999967	9.783333103	16.71666654	17.14999994	9.783333103	979	203	2	93.61575501	541	11	16	541
16N0008	-122.813066	38.060316	13.63749984	12.57499959	61.04368832	300.4929669	23.39999962	2.799999952	20.59999967	9.783333103	16.71666654	17.14999994	9.783333103	979	203	2	93.61575501	541	11	16	541
16N0010	-122.81	38.060316	13.63749984	12.57499959	61.04368832	300.4929669	23.39999962	2.799999952	20.59999967	9.783333103	16.71666654	17.14999994	9.783333103	979	203	2	93.61575501	541	11	16	541
16N0011	-122.813066	38.060316	13.63749984	12.57499959	61.04368832	300.4929669	23.39999962	2.799999952	20.59999967	9.783333103	16.71666654	17.14999994	9.783333103	979	203	2	93.61575501	541	11	16	541
16N0012	-122.813066	38.060316	13.63749984	12.57499959	61.04368832	300.4929669	23.39999962	2.799999952	20.59999967	9.783333103	16.71666654	17.14999994	9.783333103	979	203	2	93.61575501	541	11	16	541
16N0238	-85.324145	42.29692	8.812500002	10.57500012	27.97619066	991.9290771	26.10000038	-11.69999981	37.80000019	19.64999994	-2.533333361	20.69999997	-3.833333333	903	97	39	24.58082287	276	148	270	152
16N0239	-85.324145	42.29692	8.812500002	10.57500012	27.97619066	991.9290771	26.10000038	-11.69999981	37.80000019	19.64999994	-2.533333361	20.69999997	-3.833333333	903	97	39	24.58082287	276	148	270	152
16N0241	-85.324145	42.29692	8.812500002	10.57500012	27.97619066	991.9290771	26.10000038	-11.69999981	37.80000019	19.64999994	-2.533333361	20.69999997	-3.833333333	903	97	39	24.58082287	276	148	270	152
16N0242	-85.324145	42.29692	8.812500002	10.57500012	27.97619066	991.9290771	26.10000038	-11.69999981	37.80000019	19.64999994	-2.533333361	20.69999997	-3.833333333	903	97	39	24.58082287	276	148	270	152
16N0243	-85.548156	42.16689	9.091666795	10.40000012	27.44063384	1003.83318	26.5	-11.39999962	37.89999962	20.11666663	-2.349999766	21.11666663	-3.716666559	910	98	40	24.47429413	284	151	278	156
16N0246	-85.30333	42.296921	8.787500056	10.60833334	28.06437379	993.3326001	26.10000038	-11.69999981	37.80000019	19.63333337	-2.549999932	20.69999997	-3.883333226	901	96	39	24.69409764	275	147	270	151
16N0249	-85.30333	42.296921	8.787500056	10.60833334	28.06437379	993.3326001	26.10000038	-11.69999981	37.80000019	19.63333337	-2.549999932	20.69999997	-3.883333226	901	96	39	24.69409764	275	147	270	151
16N0261	-85.324145	42.29692	8.812500002	10.57500012	27.97619066	991.9290771	26.10000038	-11.69999981	37.80000019	19.64999994	-2.533333361	20.69999997	-3.833333333	903	97	39	24.58082287	276	148	270	152
16N0354	-85.47163	32.0385	17.96666668	13.63333355	41.94871663	694.8032127	33.90000153	1.399999976	32.50000155	10.63333338	18.73333335	26.21666654	9.133333385	1347	160	65	21.40876882	413	255	348	379
16N0356	-85.47163	32.0385	17.96666668	13.63333355	41.94871663	694.8032127	33.90000153	1.399999976	32.50000155	10.63333338	18.73333335	26.21666654	9.133333385	1347	160	65	21.40876882	413	255	348	379
16N0357	-85.47163	32.0385	17.96666668	13.63333355	41.94871663	694.8032127	33.90000153	1.399999976	32.50000155	10.63333338	18.73333335	26.21666654	9.133333385	1347	160	65	21.40876882	413	255	348	379
16N0358	-85.47163	32.0385	17.96666668	13.63333355	41.94871663	694.8032127	33.90000153	1.399999976	32.50000155	10.63333338	18.73333335	26.21666654	9.133333385	1347	160	65	21.40876882	413	255	348	379
16N1052	-84.76145	37.81017	13.01250009	12.441667	33.99362622	871.2950718	30.39999962	-6.199999809	36.59999943	21.48333327	14.00000016	23.49999984	1.900000095	1189	121	73	15.20966731	345	255	320	274
16N1065	-84.76145	37.81017	13.01250009	12.441667	33.99362622	871.2950718	30.39999962	-6.199999809	36.59999943	21.48333327	14.00000016	23.49999984	1.900000095	1189	121	73	15.20966731	345	255	320	274
16N1081	-84.76145	37.81017	13.01250009	12.441667	33.99362622	871.2950718	30.39999962	-6.199999809	36.59999943	21.48333327	14.00000016	23.49999984	1.900000095	1189	121	73	15.20966731	345	255	320	274
16N4237	-77.71511	43.32104	8.6375	9.374999876	26.33426974	954.2634638	25.39999962	-10.19999981	35.59999943	15.81666676	-2.433333377	20.26666673	-3.266666631	809	83	45	16.43585503	230	154	220	167
16N4239	-77.71511	43.32104	8.6375	9.374999876	26.33426974	954.2634638	25.39999962	-10.19999981	35.59999943	15.81666676	-2.433333377	20.26666673	-3.266666631	809	83	45	16.43585503	230	154	220	167
16N4241	-77.71511	43.32104	8.6375	9.374999876	26.33426974	954.2634638	25.39999962	-10.19999981	35.59999943	15.81666676	-2.433333377	20.26666673	-3.266666631	809	83	45	16.43585503	230	154	220	167
16N4248	-77.71829	43.43309	8.941666692	7.183333258	23.55191269	842.2827046	23.39999962	-7.099999905	30.49999952	11.68333324	-0.799999952	19.48333343	-0.899999996	842	89	47	16.81741365	245	161	233	173
16N4250	-77.71829	43.43309	8.941666692	7.183333258	23.55191269	842.2827046	23.39999962	-7.099999905	30.49999952	11.68333324	-0.799999952	19.48333343	-0.899999996	842	89	47	16.81741365	245	161	233	173
16N4251	-77.71829	43.43309	8.941666692	7.183333258	23.55191269	842.2827046	23.39999962	-7.099999905	30.49999952	11.68333324	-0.799999952	19.48333343	-0.899999996	842	89	47	16.81741365	245	161	233	173
16N4253	-77.71829	43.43309	8.941666692	7.183333258	23.55191269	842.2827046	23.39999962	-7.099999905	30.49999952	11.68333324	-0.799999952	19.48333343	-0.899999996	842	89	47	16.81741365	245	161	233	173
16N4254	-77.71829	43.43309	8.941666692	7.183333258	23.55191269	842.2827046	23.39999962	-7.099999905	30.49999952	11.68333324	-0.799999952	19.48333343	-0.899999996	842	89	47	16.81741365	245	161	233	173
16N4255	-77.71829	43.43309	8.941666692	7.183333258	23.55191269	842.2827046	23.39999962	-7.099999905	30.49999952	11.68333324	-0.799999952	19.48333343	-0.899999996	842	89	47	16.81741365	245	161	233	173
16N4261	-85.324145	42.29692	8.812500002	10.57500012	27.97619066	991.9290771	26.10000038	-11.69999981	37.80000019	19.64999994	-2.533333361	20.69999997	-3.833333333	903	97	39	24.58082287	276	148	270	152
